	GpB_1	GpB_2	GpA_1	GpA_2	GpA_3	GpA_4	GpA_5	GpA_6
SH3BP5	994	623	1654	897	552	817	1195	1405
SH3BP5L	57	44	61	69	61	71	74	75
SH3GL1	268	255	200	294	88	360	303	383
SH3GLB1	530	515	428	534	557	447	455	375
SH3GLB2	424	411	495	291	150	379	334	648
SH3KBP1	701	546	944	810	1164	774	1116	912
SH3PXD2A	49	117	55	109	83	21	27	267
SH3TC1	89	58	66	254	212	63	56	140
SHARPIN	182	79	217	128	164	161	157	208
SHC1	144	126	148	179	204	124	130	172
SHFM1	401	651	203	489	315	458	172	227
SHISA5	100	108	117	98	91	93	89	168
SHISA8	130	53	234	30	21	80	95	147
SHKBP1	925	485	859	878	679	1043	1213	1013
SHMT1	101	140	82	156	72	172	111	196
SHMT2	2379	4634	2142	1680	2659	2699	2073	1192
SHOC2	568	632	789	479	776	552	677	355
SHPK	144	84	91	79	57	61	60	100
SHPRH	180	179	249	134	162	189	215	161
SHQ1	211	162	127	106	102	147	140	87
SIAH1	94	103	95	78	108	80	125	66
SIAH2	277	181	356	277	282	284	475	291
SIDT1	83	73	127	66	63	137	116	90
SIDT2	391	114	463	282	432	146	194	463
SIGIRR	147	66	74	57	65	38	68	47
SIGLEC10	205	95	137	161	52	67	20	405
SIGLEC5	150	81	206	27	52	37	43	66
SIGMAR1	107	111	90	119	77	126	124	150
SIK1	713	177	839	406	753	451	624	353
SIK2	168	144	141	155	157	130	106	129
SIK3	558	266	938	465	663	329	486	731
SIKE1	125	102	127	97	103	90	94	110
SIL1	105	188	165	121	139	107	176	185
SIMC1	95	37	101	68	64	54	86	127
SIN3A	1144	819	1363	877	1016	1041	1284	1095
SIN3B	354	199	298	275	199	279	309	283
SIPA1	421	313	508	488	514	396	378	609
SIPA1L1	790	463	1230	756	1027	893	1146	918
SIPA1L3	393	166	597	377	670	260	253	591
SIRPA	1035	736	1412	465	575	610	650	463
SIRPB1	111	215	36	154	79	94	145	53
SIRT1	187	140	244	153	167	134	208	179
SIRT2	133	80	163	141	147	106	199	176
SIRT3	42	29	64	41	60	72	70	45
SIRT5	37	37	49	35	42	59	62	49
SIRT6	154	85	102	89	92	88	101	78
SIRT7	124	48	112	77	73	83	86	101
SIT1	219	67	429	104	362	94	120	187
SIVA1	77	96	109	196	168	254	335	183
SKA2	52	71	43	62	46	67	28	55
SKAP1	288	128	265	149	216	227	357	177
SKAP2	181	165	151	164	380	170	118	78
SKI	235	70	106	162	68	105	121	147
SKIL	300	237	389	344	797	256	491	193
SKIV2L	596	281	395	291	383	448	492	237
SKIV2L2	639	666	478	448	616	530	430	328
SKP1	1020	1085	842	704	707	773	474	600
SKP2	46	54	60	112	79	129	95	115
SLA	391	101	598	179	274	154	124	371
SLAIN1	161	71	92	75	59	55	157	122
SLAIN2	89	89	194	124	244	118	160	165
SLAMF1	2616	946	1983	888	1171	1433	1302	780
SLAMF6	1303	567	1193	258	319	493	410	451
SLAMF7	2612	762	3555	647	2230	852	1069	730
SLBP	367	660	236	575	394	469	193	384
SLC10A3	164	69	250	128	129	139	261	247
SLC11A2	194	199	259	138	206	198	287	129
SLC12A2	172	183	146	192	228	149	168	108
SLC12A3	176	20	244	35	231	24	62	42
SLC12A4	474	252	344	311	954	298	489	104
SLC12A6	133	181	194	163	218	161	111	204
SLC12A9	205	108	270	128	119	168	220	225
SLC15A3	1359	557	1235	526	407	598	706	831
SLC15A4	319	291	279	145	84	145	290	252
SLC16A1	232	596	174	255	209	199	218	203
SLC16A13	57	51	64	68	54	58	57	73
SLC16A3	148	223	151	110	118	75	148	146
SLC17A5	81	51	72	45	62	32	53	52
SLC17A9	43	31	46	62	117	48	54	69
SLC19A2	124	38	32	73	28	44	92	45
SLC1A4	348	522	630	236	405	315	249	279
SLC1A5	784	802	767	534	577	794	612	488
SLC20A1	321	542	807	500	269	795	1031	1326
SLC20A2	21	29	21	24	22	27	39	24
SLC23A2	396	213	462	199	332	191	250	257
SLC25A1	164	249	117	201	135	153	197	230
SLC25A11	439	377	309	280	156	435	411	381
SLC25A12	435	233	394	220	240	301	352	200
SLC25A13	33	109	43	72	84	38	49	59
SLC25A17	58	117	88	73	60	81	64	134
SLC25A19	154	147	175	160	217	129	284	182
SLC25A20	143	82	144	72	83	73	64	81
SLC25A22	148	96	84	129	71	139	146	96
SLC25A23	119	20	138	148	155	215	179	196
SLC25A24	359	322	230	376	391	261	298	241
SLC25A25	140	87	144	128	82	146	226	154
SLC25A26	29	27	33	30	40	37	79	39
SLC25A28	106	91	124	172	92	129	196	264
SLC25A3	2194	3267	1642	2188	2139	1657	2150	1928
SLC25A30	124	74	105	59	67	74	81	65
SLC25A32	299	221	238	213	205	208	345	232
SLC25A33	31	42	22	40	36	36	60	24
SLC25A36	113	73	119	59	101	58	89	71
SLC25A37	42	32	75	97	142	132	120	154
SLC25A38	236	125	199	118	134	225	347	112
SLC25A39	231	317	231	490	335	463	602	462
SLC25A4	206	124	93	168	86	117	154	101
SLC25A40	33	78	56	38	58	60	57	53
SLC25A43	40	50	68	53	88	86	103	61
SLC25A44	145	65	203	126	195	155	159	157
SLC25A45	53	23	63	69	20	56	61	150
SLC25A46	188	91	204	112	170	108	126	151
SLC25A5	738	2170	724	1333	1255	1401	1640	1063
SLC25A6	103	998	200	1105	312	1502	2729	133
SLC26A2	56	68	91	60	64	56	54	77
SLC26A6	76	129	66	70	34	63	55	76
SLC27A4	137	110	106	129	106	114	113	123
SLC29A1	132	248	135	174	147	165	152	240
SLC2A1	1854	951	1301	572	520	923	592	524
SLC2A13	58	37	65	54	64	25	99	39
SLC2A3	259	471	348	199	306	120	158	153
SLC2A6	733	490	369	239	359	303	313	105
SLC30A1	56	80	67	61	66	52	53	55
SLC30A4	65	49	38	59	31	42	105	67
SLC30A5	142	152	170	115	172	157	252	103
SLC30A6	251	212	299	147	200	215	162	121
SLC30A7	176	260	163	152	268	142	152	88
SLC30A9	112	160	125	136	155	172	330	139
SLC31A1	59	46	49	52	35	39	21	68
SLC33A1	119	155	157	105	226	105	147	81
SLC35A2	117	49	99	102	95	77	72	116
SLC35A5	61	120	114	63	125	86	138	72
SLC35B1	140	77	125	156	158	135	208	140
SLC35B2	255	141	327	142	223	180	324	262
SLC35B3	73	57	76	50	79	59	65	54
SLC35B4	39	68	44	75	59	42	65	73
SLC35C1	46	33	69	84	78	69	111	93
SLC35C2	120	78	178	109	128	115	232	196
SLC35D1	35	33	33	46	92	22	53	29
SLC35E1	96	90	119	157	152	122	109	166
SLC35E2B	110	76	166	96	94	115	97	112
SLC35E3	43	108	64	58	48	52	57	77
SLC35F2	263	188	235	170	155	207	251	259
SLC35F5	41	71	59	62	175	54	62	39
SLC35F6	57	62	68	80	71	59	70	105
SLC37A1	336	171	298	233	263	605	711	139
SLC37A3	544	236	521	207	54	432	664	744
SLC37A4	148	137	114	86	68	167	101	102
SLC38A1	3372	3249	2579	1592	2586	2000	1665	782
SLC38A10	321	231	363	281	266	221	213	410
SLC38A2	2412	2989	3091	1613	2133	2356	2129	1313
SLC38A5	330	282	376	197	122	280	351	421
SLC38A9	108	112	114	43	81	80	44	47
SLC39A1	679	255	559	473	723	525	660	308
SLC39A10	32	68	38	52	61	50	56	51
SLC39A11	106	68	99	84	65	70	92	138
SLC39A13	81	52	100	85	80	76	108	92
SLC39A14	351	313	214	182	188	176	287	141
SLC39A3	47	84	56	80	78	57	70	111
SLC39A4	213	163	62	118	54	99	91	77
SLC39A6	140	243	204	156	268	160	284	172
SLC39A7	326	296	309	373	314	241	366	421
SLC39A8	90	1202	79	209	151	174	289	161
SLC39A9	170	176	200	109	178	151	141	94
SLC3A2	1055	2289	1083	719	1164	888	866	538
SLC41A1	46	82	59	90	63	60	49	114
SLC41A2	51	154	51	38	59	35	55	20
SLC41A3	176	93	153	135	142	134	171	118
SLC43A1	85	107	108	35	81	147	63	35
SLC43A2	64	684	57	181	276	95	70	94
SLC43A3	2980	1553	2772	1031	1368	1523	1379	1193
SLC44A1	88	561	129	213	207	124	154	201
SLC44A2	188	123	347	683	913	347	514	790
SLC45A4	24	27	42	45	48	33	32	74
SLC46A3	45	54	73	25	32	38	30	41
SLC48A1	167	71	70	83	33	97	86	71
SLC4A1AP	383	306	291	265	255	213	221	253
SLC4A2	317	145	429	298	312	299	311	373
SLC4A7	39	231	70	111	178	157	142	29
SLC4A8	33	33	36	43	29	50	42	41
SLC50A1	438	403	411	208	501	214	332	231
SLC52A2	133	76	122	138	139	95	155	131
SLC5A3	39	300	78	116	135	40	37	215
SLC5A6	200	192	181	251	238	252	351	225
SLC6A6	608	451	481	479	383	325	370	459
SLC6A9	62	54	82	53	59	48	104	69
SLC7A1	1462	1748	1528	592	750	1014	747	491
SLC7A11	25	1185	54	141	179	59	30	98
SLC7A5	151	596	254	224	312	347	249	188
SLC7A6	217	189	219	183	115	143	149	200
SLC7A6OS	99	79	113	69	67	105	102	108
SLC7A7	347	188	469	256	591	275	235	278
SLC8B1	45	59	43	55	34	46	39	80
SLC9A1	198	147	215	169	188	104	140	219
SLC9A3R1	207	176	153	221	117	174	227	212
SLC9A6	115	112	98	84	82	64	107	84
SLC9A7	615	436	1513	358	438	650	939	954
SLC9A8	81	62	100	98	92	69	64	127
SLC9B2	86	105	83	89	76	206	219	70
SLCO4A1	213	166	85	77	112	154	173	51
SLFN11	134	152	173	85	22	126	127	277
SLFN13	76	173	121	89	37	98	58	190
SLFN5	438	190	742	248	316	290	365	303
SLIRP	444	520	293	396	235	373	487	237
SLK	202	406	265	272	297	210	247	268
SLMAP	117	91	118	150	131	112	170	149
SLMO2	1217	1010	875	518	553	742	837	465
SLTM	553	614	667	558	678	617	781	578
SLU7	396	371	413	215	286	214	268	242
SLX4	93	76	102	75	50	81	84	111
SMAD2	488	275	604	281	356	530	880	346
SMAD4	456	351	652	335	352	480	596	443
SMAD5	68	47	72	64	76	73	94	72
SMAD7	87	47	59	104	128	83	65	40
SMAP1	369	286	183	254	195	152	128	182
SMAP2	4235	2668	4111	1772	2585	3392	5011	1745
SMARCA2	2777	2635	3586	1814	1943	2811	2535	2016
SMARCA4	862	815	576	712	486	644	619	682
SMARCA5	1867	2202	2101	1490	2287	1995	1756	1050
SMARCAD1	250	364	302	215	357	264	293	169
SMARCAL1	625	322	915	310	289	406	385	681
SMARCB1	1511	801	1521	788	529	946	946	1815
SMARCC1	703	906	749	730	1352	685	886	471
SMARCC2	931	1140	935	857	824	938	761	774
SMARCD1	533	475	441	437	370	398	503	424
SMARCD2	580	486	613	493	455	444	595	520
SMARCE1	395	440	383	306	308	367	294	339
SMC1A	1011	2492	977	1858	895	2075	1079	1753
SMC2	253	670	264	562	347	571	189	475
SMC3	1351	1791	1232	1193	1298	1615	924	804
SMC4	188	863	246	648	547	510	179	520
SMC5	332	284	382	354	557	211	302	256
SMC6	366	389	544	461	1271	602	502	285
SMCHD1	890	771	1168	743	940	984	1159	836
SMCR8	200	165	263	197	209	115	187	313
SMDT1	323	143	317	221	241	325	438	324
SMG1	1517	886	3939	981	1594	1596	1811	1647
SMG5	466	211	562	585	586	560	495	585
SMG6	221	211	226	213	223	215	162	174
SMG7	458	277	626	535	737	478	485	552
SMG8	300	191	304	234	246	203	319	278
SMG9	584	312	575	328	322	575	452	348
SMIM10L1	81	89	80	70	38	57	69	78
SMIM12	147	134	97	64	110	108	114	39
SMIM15	111	79	82	58	55	49	64	57
SMIM19	55	100	48	51	64	51	39	47
SMIM20	41	47	36	36	29	36	39	38
SMIM4	63	37	25	76	33	42	33	51
SMIM7	120	131	114	67	83	97	83	90
SMIM8	131	37	71	46	39	46	30	48
SMNDC1	269	231	299	187	236	199	172	193
SMPD1	144	62	129	136	111	100	157	155
SMPD2	96	64	95	68	62	104	78	85
SMPD4	325	240	334	305	274	313	290	323
SMS	410	405	213	488	515	599	473	124
SMTN	22	25	33	56	20	29	30	151
SMU1	1342	973	904	719	759	822	555	423
SMURF1	174	112	129	170	134	144	162	124
SMURF2	38	31	59	73	84	84	132	74
SMYD2	30	35	50	45	62	43	49	66
SMYD3	79	101	93	56	77	86	105	67
SMYD4	117	80	145	88	119	94	65	104
SMYD5	206	133	128	129	72	123	223	171
SNAP23	1078	880	1251	526	1063	700	653	457
SNAP29	66	137	130	116	150	115	100	223
SNAP47	204	102	311	80	63	107	158	439
SNAPC1	56	101	81	48	110	68	42	42
SNAPC2	127	63	89	118	133	173	178	107
SNAPC3	204	173	248	186	235	176	150	202
SNAPC4	123	117	99	127	117	109	105	127
SNAPIN	116	118	149	116	123	76	159	181
SND1	3330	2463	2691	2421	2581	2768	3254	2298
SNF8	153	150	153	237	197	283	314	229
SNIP1	135	86	121	81	110	85	77	86
SNN	212	57	255	113	90	147	222	203
SNRK	905	273	593	259	143	448	862	274
SNRNP200	3498	2809	3749	2619	2721	3170	2959	3089
SNRNP25	49	55	35	57	55	67	65	53
SNRNP27	91	182	146	102	133	115	119	142
SNRNP35	123	167	78	129	76	111	85	114
SNRNP40	715	564	449	528	483	589	437	393
SNRNP48	74	63	53	55	45	52	56	52
SNRNP70	483	424	464	461	370	488	359	571
SNRPA	354	313	367	313	258	362	272	597
SNRPA1	294	311	181	273	180	260	278	196
SNRPB	2076	1398	827	1110	624	1235	1035	597
SNRPB2	285	271	223	152	231	220	103	123
SNRPC	544	587	485	318	342	498	283	293
SNRPD1	442	693	250	449	320	447	330	225
SNRPD2	1181	1301	919	739	779	989	1128	960
SNRPD3	639	744	510	459	481	434	290	341
SNRPE	123	319	119	144	132	188	150	48
SNRPF	433	616	195	247	237	300	240	141
SNRPG	184	632	85	314	248	477	213	39
SNTB2	58	43	76	98	45	62	65	111
SNUPN	108	114	96	77	89	114	122	81
SNW1	827	613	526	456	642	587	505	257
SNX1	796	491	707	514	615	470	643	444
SNX10	219	456	243	199	195	247	241	156
SNX11	1871	725	1811	613	500	1320	1610	955
SNX12	219	182	135	153	132	111	91	96
SNX13	53	61	53	113	173	66	142	54
SNX14	371	403	443	305	419	297	386	330
SNX17	758	515	842	724	729	858	1074	883
SNX18	554	243	667	328	416	374	246	407
SNX19	187	154	275	149	163	206	179	227
SNX2	638	639	586	716	1236	571	685	438
SNX20	281	234	353	182	204	173	284	351
SNX25	50	35	75	77	137	136	98	57
SNX27	179	148	158	228	279	144	152	149
SNX29	324	271	283	159	85	226	188	344
SNX3	614	385	441	441	469	337	414	442
SNX4	561	456	374	390	452	425	526	240
SNX5	853	720	650	636	915	584	507	478
SNX6	428	427	376	461	485	338	339	384
SNX8	977	502	1107	445	650	668	747	734
SNX9	810	516	1112	558	1055	744	599	422
SOAT1	402	884	613	269	514	424	183	304
SOCS1	291	285	570	647	468	867	1803	1401
SOCS3	296	1095	213	312	367	372	265	143
SOCS4	77	67	83	82	156	103	205	53
SOCS5	31	24	39	31	54	32	55	33
SOCS7	42	27	54	32	33	35	25	42
SOD1	568	823	450	458	426	506	300	445
SOD2	215	7159	198	515	504	294	248	321
SOGA1	517	213	351	182	198	212	282	99
SON	3722	2569	3860	2991	3618	2796	3458	2909
SORBS3	128	74	115	190	219	120	186	131
SORD	131	148	58	52	75	132	57	30
SOS1	123	132	225	223	260	227	299	227
SOS2	180	136	291	169	335	223	313	163
SOX12	56	46	42	65	30	40	49	80
SP1	746	530	677	654	786	488	404	614
SP100	1658	942	1630	744	1014	1139	992	950
SP110	703	402	1146	493	611	840	874	700
SP140	1001	497	1190	581	1199	1391	729	511
SP140L	203	154	252	155	244	273	206	118
SP2	199	98	240	145	148	161	172	275
SP3	619	408	701	578	600	569	689	689
SP4	235	106	379	149	190	203	190	285
SPAG1	51	110	78	88	77	63	70	111
SPAG5	43	331	64	355	231	200	96	384
SPAG7	397	406	319	283	235	230	275	345
SPAG9	282	356	252	348	425	319	365	235
SPARC	1180	433	364	480	162	441	323	250
SPAST	351	188	243	147	171	164	128	136
SPATA13	54	61	62	178	122	101	52	163
SPATA2	56	35	90	85	82	75	103	129
SPATA20	61	75	147	154	200	181	103	242
SPATA5	102	141	112	149	142	156	134	116
SPATA5L1	196	107	72	91	58	80	63	77
SPATC1L	60	30	74	46	69	52	53	87
SPATS2	44	60	82	58	64	63	94	103
SPATS2L	51	129	148	59	23	137	122	192
SPCS1	503	520	641	344	401	539	365	454
SPCS2	130	548	83	164	162	189	142	52
SPCS3	454	551	275	479	332	231	273	399
SPDL1	87	144	91	100	148	84	85	56
SPECC1	120	221	83	152	59	157	254	174
SPECC1L	746	740	710	520	492	675	981	471
SPEN	1555	797	1472	723	803	845	808	794
SPG11	926	850	1438	683	1185	994	896	864
SPG21	140	162	182	182	242	144	316	219
SPG7	159	125	175	131	112	163	161	224
SPHK2	141	54	100	156	85	107	146	186
SPI1	162	369	193	165	344	136	166	149
SPIB	3398	828	2033	1186	1242	1433	1577	1195
SPICE1	53	83	80	65	77	102	68	67
SPIDR	57	78	127	123	128	140	156	208
SPIN1	90	91	84	110	100	67	90	82
SPINT1	209	539	296	184	242	277	123	327
SPINT2	1429	1671	1006	767	619	627	686	1189
SPN	654	259	482	144	82	287	165	363
SPNS1	124	105	119	136	117	118	145	139
SPOCK2	1788	745	851	516	259	803	624	546
SPOP	337	206	369	251	244	266	328	299
SPP1	392	547	97	229	154	111	74	55
SPPL2A	329	883	400	313	446	278	369	280
SPPL2B	52	78	72	102	79	74	65	122
SPPL3	237	193	266	186	213	194	231	196
SPRED2	68	146	31	71	47	93	104	26
SPRTN	67	68	80	57	47	38	52	73
SPRY2	120	29	128	150	67	38	137	153
SPRYD3	269	268	204	241	200	189	230	192
SPRYD7	44	48	47	43	63	40	28	29
SPSB3	139	94	256	115	128	151	183	218
SPTAN1	2071	2280	2615	2372	2574	2258	2385	2068
SPTBN1	257	300	302	350	612	174	151	191
SPTLC1	303	454	396	331	327	295	330	359
SPTLC2	658	731	541	547	329	630	597	438
SPTY2D1	121	119	114	111	134	79	82	91
SQLE	604	777	428	476	961	304	339	248
SQRDL	642	491	634	387	382	488	395	557
SQSTM1	1721	1561	1566	1290	1521	867	1219	1094
SRA1	257	167	145	144	130	128	121	178
SRBD1	136	227	128	129	138	157	115	120
SRC	495	248	221	227	421	300	212	71
SRCAP	963	602	1108	634	558	675	567	1132
SREBF1	505	1147	399	517	350	319	371	549
SREBF2	937	991	990	1313	1496	724	826	1332
SREK1	174	156	261	185	235	236	194	194
SREK1IP1	37	79	46	42	39	49	29	42
SRF	226	119	175	226	149	210	170	225
SRFBP1	334	176	194	164	171	149	117	138
SRGAP2	64	56	65	124	229	43	47	100
SRGN	25349	19627	16904	5990	10246	4656	5595	4065
SRI	1462	1446	779	872	877	901	948	294
SRM	351	227	417	453	316	550	678	817
SRP14	1679	1641	1828	799	938	1096	816	971
SRP19	117	177	167	120	166	150	107	132
SRP54	559	653	498	696	967	697	363	388
SRP68	816	457	635	613	820	507	763	479
SRP72	537	618	572	522	715	530	784	571
SRPK1	641	902	515	685	454	798	693	624
SRPK2	292	252	282	353	392	200	211	321
SRPR	542	583	666	906	1021	569	619	963
SRPRB	260	232	200	165	198	169	173	167
SRR	52	24	39	39	42	61	105	24
SRRD	105	64	105	68	77	79	127	79
SRRM1	1336	1009	1133	991	983	1087	1142	906
SRRM2	6684	4162	5895	4166	3894	3517	4509	5032
SRRT	1080	726	865	797	696	809	1004	794
SRSF1	1501	958	852	1070	723	951	584	748
SRSF10	533	648	513	451	449	579	358	322
SRSF11	1257	741	1101	654	849	875	670	508
SRSF2	1621	1102	757	894	529	740	800	810
SRSF3	1779	1800	777	971	767	961	655	495
SRSF4	613	354	590	522	493	609	668	610
SRSF5	1221	1437	782	1132	821	634	657	1301
SRSF6	793	1270	606	874	621	571	645	623
SRSF7	722	790	353	579	490	650	344	379
SRSF8	508	161	325	158	144	154	208	187
SRSF9	1125	877	526	874	581	760	849	647
SS18	328	307	394	243	324	269	149	211
SS18L2	172	98	120	72	111	93	45	64
SSB	839	1506	836	726	562	1280	810	566
SSBP1	377	452	241	243	289	289	172	152
SSBP4	30	29	35	50	29	45	93	80
SSFA2	24	39	77	102	154	118	100	128
SSH1	68	215	191	86	115	77	144	161
SSH2	214	211	425	211	304	164	120	398
SSNA1	202	208	230	235	200	267	424	194
SSR1	1107	1121	976	1117	1173	884	1061	939
SSR2	752	644	592	844	840	650	1204	572
SSR3	421	451	461	352	586	262	367	323
SSR4	975	493	605	661	637	708	895	747
SSRP1	1903	1596	1221	1278	971	1814	1735	1109
SSSCA1	267	198	160	173	126	150	189	210
SSU72	361	253	271	285	302	336	395	217
ST13	443	970	278	497	521	666	831	211
ST14	316	164	759	108	191	104	287	448
ST3GAL1	345	186	382	120	72	100	270	255
ST3GAL2	98	110	144	142	81	117	79	241
ST3GAL5	419	254	671	265	279	455	653	455
ST5	46	36	32	54	39	47	47	28
ST6GAL1	656	241	988	380	702	377	451	674
ST6GALNAC4	131	72	193	196	317	225	369	312
ST6GALNAC6	61	42	181	133	286	185	200	186
ST7	55	47	70	69	137	24	40	47
ST8SIA4	655	839	530	208	244	682	177	167
STAG1	353	373	488	403	540	414	441	343
STAG2	977	1070	1124	925	1221	1067	1084	738
STAG3	649	271	148	137	180	504	641	37
STAM	403	220	333	199	241	327	237	212
STAM2	199	156	206	176	159	116	133	215
STAMBP	249	177	356	165	252	213	308	183
STAMBPL1	156	108	200	157	95	168	312	337
STAP1	197	150	147	122	75	224	180	147
STAP2	105	64	56	52	41	57	80	80
STARD10	66	21	98	44	54	124	191	79
STARD3	106	65	105	110	138	92	137	116
STARD3NL	82	76	65	43	62	64	60	32
STARD7	981	579	929	623	701	1041	1032	631
STAT1	800	1082	2681	2111	1065	2559	3392	6243
STAT2	653	670	819	757	483	572	838	1093
STAT3	7518	6057	9636	2959	3354	3903	5787	5487
STAT5A	12847	4084	7697	3146	4355	6441	5002	1703
STAT5B	4182	1762	2694	1700	1666	3015	2347	1163
STAT6	2371	1301	2409	1711	1661	1804	2133	2169
STAU1	1177	703	984	661	506	859	887	741
STAU2	171	155	130	131	111	119	115	129
STIL	37	138	71	123	123	96	48	117
STIM1	627	337	722	389	359	409	516	588
STIM2	222	91	292	163	196	234	189	211
STIP1	1103	1218	980	797	831	1008	727	802
STK10	1428	789	1552	864	1183	747	833	1129
STK11	110	78	179	199	188	179	215	187
STK11IP	241	92	194	118	94	106	137	165
STK16	46	39	84	51	77	104	169	101
STK17A	428	337	306	285	264	336	280	212
STK17B	505	715	352	641	782	621	623	306
STK19	71	61	53	42	36	37	72	40
STK24	965	718	802	684	610	776	895	640
STK25	253	158	281	215	240	227	292	310
STK26	637	995	508	432	439	407	336	298
STK35	153	136	150	154	80	215	206	212
STK36	39	55	58	67	76	84	93	57
STK38	167	159	140	175	126	127	112	146
STK38L	204	299	263	384	207	207	383	424
STK39	23	93	74	69	155	56	25	77
STK4	4238	2123	3962	1666	1933	2247	2732	1766
STK40	109	102	180	156	221	198	163	121
STMN1	354	2197	380	1932	1046	1884	209	1395
STOM	36	363	28	120	109	35	57	78
STOML1	69	30	87	30	29	69	51	52
STOML2	740	523	489	578	426	795	1063	558
STRADA	253	245	342	200	217	272	213	291
STRADB	28	37	26	45	40	56	111	31
STRAP	468	677	275	477	501	403	495	243
STRBP	542	534	566	429	453	586	914	503
STRIP1	317	199	321	307	310	219	278	294
STRN	178	186	138	210	280	103	143	114
STRN3	86	129	68	177	115	111	239	104
STRN4	190	160	251	258	202	206	285	310
STT3A	880	974	903	1107	1185	756	903	844
STT3B	366	532	400	516	583	360	572	558
STUB1	191	95	183	221	168	250	313	261
STX10	29	59	66	87	158	124	115	102
STX11	101	126	158	124	247	125	188	85
STX12	275	151	174	167	155	201	272	120
STX16	86	66	141	103	91	156	153	149
STX17	78	73	123	65	91	94	87	104
STX18	134	198	103	125	138	100	89	86
STX3	24	41	27	33	25	51	32	41
STX4	386	200	283	177	242	270	297	166
STX5	653	324	663	397	425	369	505	520
STX6	126	108	166	141	193	94	109	142
STX7	545	231	739	269	477	357	539	266
STX8	353	158	262	173	160	203	108	190
STXBP2	886	544	643	715	608	668	1043	691
STXBP3	483	424	363	300	404	279	253	179
STXBP5	47	89	77	80	97	85	123	74
STYX	30	46	46	37	53	46	62	32
STYXL1	150	134	172	87	98	106	189	117
SUB1	557	550	430	445	445	433	300	261
SUCLA2	223	235	156	195	279	205	220	82
SUCLG1	561	238	442	248	232	337	365	307
SUCLG2	208	369	189	238	277	279	247	166
SUCO	96	106	175	148	298	146	164	155
SUDS3	169	249	107	338	162	163	147	173
SUFU	130	75	62	81	59	55	56	52
SUGP1	190	168	186	236	174	149	148	306
SUGP2	370	283	528	431	413	457	455	621
SUGT1	181	239	225	172	284	245	157	144
SUMF2	238	258	284	201	216	328	287	341
SUMO1	156	244	102	122	96	114	59	65
SUMO2	666	1589	669	636	519	820	431	431
SUMO3	155	129	113	138	82	102	169	159
SUN1	480	389	505	300	491	441	613	205
SUN2	873	565	664	498	604	389	390	419
SUOX	43	120	44	62	29	26	44	124
SUPT16H	1895	2677	1819	1581	1876	2304	1685	1105
SUPT20H	195	188	232	151	312	268	300	116
SUPT4H1	266	276	230	258	296	189	112	204
SUPT5H	1762	763	1389	1160	1554	941	1132	1103
SUPT6H	1396	1125	1459	1077	1147	1196	1339	1115
SUPT7L	199	155	262	131	158	211	201	157
SUPV3L1	238	230	203	154	193	191	255	151
SURF1	102	74	88	87	98	108	145	69
SURF2	99	58	86	51	71	99	112	60
SURF4	789	583	596	645	517	411	612	764
SURF6	244	140	131	99	76	112	134	99
SUSD1	85	100	143	70	94	64	83	75
SUSD6	328	261	316	211	145	123	93	316
SUV39H1	131	121	81	149	60	117	77	163
SUV39H2	31	64	31	48	53	48	61	31
SUV420H1	177	171	242	156	222	171	242	160
SUZ12	305	417	366	369	438	424	542	222
SWAP70	4417	2070	3547	2261	2918	2778	2885	1981
SWI5	74	47	32	25	21	30	38	22
SYAP1	162	205	192	142	136	174	130	182
SYF2	321	356	289	176	278	255	256	131
SYK	698	304	1377	680	1197	648	695	1174
SYMPK	2580	1134	2345	1918	1507	2113	2797	1821
SYNCRIP	1167	1830	864	1396	1259	1344	840	750
SYNE1	820	526	2673	442	323	941	860	3089
SYNE2	312	438	1418	338	146	459	444	1824
SYNE3	495	134	490	243	332	441	224	207
SYNGAP1	102	33	110	79	107	105	69	60
SYNGR2	5340	2727	4583	2085	3140	2548	3263	2043
SYNGR3	83	51	40	54	121	62	60	24
SYNJ1	98	36	97	67	95	101	66	55
SYNJ2	100	83	56	210	130	169	72	76
SYNPO	199	72	474	337	624	190	200	621
SYNRG	790	444	956	440	619	434	531	690
SYPL1	607	615	488	422	396	330	209	480
SYS1	291	96	247	112	106	160	201	141
SYT11	723	479	433	99	708	372	215	23
SYTL1	108	109	268	79	220	110	119	162
SYVN1	892	424	1006	494	747	494	531	718
SZRD1	239	196	266	248	206	345	272	436
SZT2	608	313	680	251	232	360	293	430
TAB1	99	66	94	91	76	68	84	140
TAB2	409	296	892	413	613	545	1132	591
TAB3	110	72	231	112	233	121	190	142
TACC1	568	649	845	590	568	713	723	863
TACC3	139	551	136	673	305	264	151	870
TACO1	170	191	128	99	88	117	137	101
TADA1	185	133	168	113	189	108	118	101
TADA2A	155	283	183	149	141	215	119	143
TADA2B	44	31	86	66	75	53	81	106
TADA3	330	262	354	324	289	412	707	302
TAF1	358	353	443	326	400	342	331	344
TAF10	294	241	320	407	489	556	852	377
TAF11	60	64	39	35	30	36	47	34
TAF12	115	107	81	64	60	54	60	65
TAF15	1325	1278	984	973	1163	1185	639	817
TAF1B	82	142	88	76	131	65	61	62
TAF1C	132	73	133	79	69	90	68	124
TAF1D	73	120	100	68	212	119	268	55
TAF2	225	220	263	195	277	225	346	181
TAF3	83	71	150	93	110	103	108	175
TAF4	129	89	189	127	153	154	136	207
