GENES	XTAIL	BABEL	RIBOREX	RIBODIFF
PPP2R14	0.027929375	NA	NA	NA
PPP2R15	0.031333443	NA	NA	NA
PPP2R16	0.024371777	NA	NA	NA
PPP2R17	0.005060173	NA	NA	NA
PPP2R18	0.045492078	NA	NA	NA
PPP2R19	0.036239894	NA	NA	NA
PPP2R20	0.022108488	NA	NA	NA
PPP2R21	0.000877265	NA	NA	NA
PPP2R22	0.000789057	NA	NA	NA
PPP2R23	0.000330443	NA	NA	NA
PPP2R24	0.012829542	NA	NA	NA
PPP2R25	8.81E-06	NA	NA	NA
PPP2R26	5.79E-05	NA	NA	NA
PPP2R27	8.31E-05	NA	NA	NA
PPP2R28	0.000937273	NA	NA	NA
PPP2R29	0.021939345	NA	NA	NA
PPP2R30	0.001985118	NA	NA	NA
PPP2R31	0.014446309	NA	NA	NA
PPP2R32	0.033222029	NA	NA	NA
PPP2R33	0.000238772	NA	NA	NA
PPP2R34	0.003376644	NA	NA	NA
PPP2R35	0.024081184	NA	NA	NA
PPP2R36	0.005112723	NA	NA	NA
PPP2R37	0.003781384	NA	NA	NA
PPP2R38	0.005340096	NA	NA	NA
PPP2R39	0.016458905	NA	NA	NA
PPP2R40	0.004492502	NA	NA	NA
PPP2R41	0.007071039	NA	NA	NA
PPP2R42	0.011957926	NA	NA	NA
PPP2R43	0.013813005	NA	NA	NA
PPP2R44	0.009420756	NA	NA	NA
PPP2R45	0.018440872	NA	NA	NA
PPP2R46	0.001166229	NA	NA	NA
PPP2R47	0.022530192	NA	NA	NA
PPP2R48	0.021085437	NA	NA	NA
PPP2R49	0.040053355	NA	NA	NA
PPP2R50	0.000882507	NA	NA	NA
PPP2R51	0.003609927	NA	NA	NA
PPP2R52	0.004585199	NA	NA	NA
PPP2R53	0.040740409	NA	NA	NA
PPP2R54	0.012815684	NA	NA	NA
PPP2R55	0.036194828	NA	NA	NA
PPP2R56	0.026255214	NA	NA	NA
PPP2R57	3.03E-08	NA	NA	NA
PPP2R58	0.00635338	NA	NA	NA
PPP2R59	0.001135703	NA	NA	NA
PPP2R60	0.009113032	NA	NA	NA
PPP2R61	0.025329107	NA	NA	NA
PPP2R62	0.004071424	NA	NA	NA
PPP2R63	0.03608592	NA	NA	NA
PPP2R64	0.001587081	NA	NA	NA
PPP2R65	0.038774681	NA	NA	NA
PPP2R66	0.045467495	NA	NA	NA
PPP2R67	0.000854223	NA	NA	NA
PPP2R68	0.000490645	NA	NA	NA
PPP2R69	0.033852765	NA	NA	NA
PPP2R70	0.003809742	NA	NA	NA
PPP2R71	0.032293624	NA	NA	NA
PPP2R72	0.00713837	NA	NA	NA
PPP2R73	0.043193116	NA	NA	NA
PPP2R74	0.000855637	NA	NA	NA
PPP2R75	1.09E-05	NA	NA	NA
PPP2R76	0.04462599	NA	NA	NA
PPP2R77	0.004607017	NA	NA	NA
PPP2R78	0.02651419	NA	NA	NA
PPP2R79	0.000503665	NA	NA	NA
PPP2R80	0.034346577	NA	NA	NA
PPP2R81	1.75E-07	NA	NA	NA
PPP2R82	0.005782913	NA	NA	NA
PPP2R83	5.14E-06	NA	NA	NA
PPP2R84	0.011957926	NA	NA	NA
PPP2R85	0.034346577	NA	NA	NA
PPP2R86	0.023118758	NA	NA	NA
PPP2R87	0.012688738	NA	NA	NA
PPP2R88	0.003487334	NA	NA	NA
PPP2R89	0.00035749	NA	NA	NA
PPP2R90	0.000109018	NA	NA	NA
PPP2R91	0.030084022	NA	NA	NA
PPP2R92	0.002837251	NA	NA	NA
PPP2R93	0.025510198	NA	NA	NA
PPP2R94	0.000709364	NA	NA	NA
PPP2R95	6.02E-06	NA	NA	NA
PPP2R96	0.044895153	NA	NA	NA
PPP2R97	0.02651419	NA	NA	NA
PPP2R98	0.04153823	NA	NA	NA
PPP2R99	0.019484991	NA	NA	NA
PPP2R100	0.000304313	NA	NA	NA
PPP2R101	9.64E-06	NA	NA	NA
PPP2R102	7.13E-05	NA	NA	NA
PPP2R103	0.031837749	NA	NA	NA
PPP2R104	0.026384406	NA	NA	NA
PPP2R105	0.00472229	NA	NA	NA
PPP2R106	0.035495589	NA	NA	NA
PPP2R107	0.000306333	NA	NA	NA
PPP2R108	0.036509252	NA	NA	NA
PPP2R109	2.22E-05	NA	NA	NA
PPP2R110	0.000878501	NA	NA	NA
PPP2R111	0.020470664	NA	NA	NA
PPP2R112	1.26E-06	NA	NA	NA
PPP2R113	0.011617547	NA	NA	NA
PPP2R114	0.026220948	NA	NA	NA
PPP2R115	0.00069242	NA	NA	NA
PPP2R116	0.012684476	NA	NA	NA
PPP2R117	4.39E-05	NA	NA	NA
PPP2R118	0.031129241	NA	NA	NA
PPP2R119	5.63E-05	NA	NA	NA
PPP2R120	2.74E-05	NA	NA	NA
PPP2R121	4.16E-05	NA	NA	NA
PPP2R122	0.014383357	NA	NA	NA
PPP2R123	0.001587081	NA	NA	NA
PPP2R124	0.024081184	NA	NA	NA
PPP2R125	0.022104815	NA	NA	NA
PPP2R126	0.000605989	NA	NA	NA
PPP2R127	0.00069242	NA	NA	NA
PPP2R128	0.016284619	NA	NA	NA
PPP2R129	0.027803968	NA	NA	NA
PPP2R130	0.049905684	NA	NA	NA
PPP2R131	0.046754796	NA	NA	NA
PPP2R132	0.042185226	NA	NA	NA
PPP2R133	0.045098141	NA	NA	NA
PPP2R134	0.026939758	NA	NA	NA
PPP2R135	0.047447915	NA	NA	NA
PPP2R136	0.028745936	NA	NA	NA
PPP2R137	0.009787756	NA	NA	NA
PPP2R138	0.016327797	NA	NA	NA
PPP2R139	9.64E-06	NA	NA	NA
PPP2R140	3.12E-06	NA	NA	NA
PPP2R141	0.016442728	NA	NA	NA
PPP2R142	2.41E-05	NA	NA	NA
PPP2R143	0.00628035	NA	NA	NA
PPP2R144	0.009069014	NA	NA	NA
PPP2R145	0.036935808	NA	NA	NA
PPP2R146	0.004411539	NA	NA	NA
PPP2R147	0.000299822	NA	NA	NA
PPP2R148	0.007824826	NA	NA	NA
PPP2R149	0.023118758	NA	NA	NA
PPP2R150	0.001133145	NA	NA	NA
PPP2R151	0.002443924	NA	NA	NA
PPP2R152	0.021549348	NA	NA	NA
PPP2R153	0.010071951	NA	NA	NA
PPP2R154	0.043289222	NA	NA	NA
PPP2R155	0.01626322	NA	NA	NA
PPP2R156	0.009765666	NA	NA	NA
PPP2R157	0.026939758	NA	NA	NA
PPP2R158	0.009216114	NA	NA	NA
PPP2R159	0.040178706	NA	NA	NA
PPP2R160	0.009596254	NA	NA	NA
PPP2R161	0.020209415	NA	NA	NA
PPP2R162	0.012327792	NA	NA	NA
PPP2R163	0.012870093	NA	NA	NA
PPP2R164	0.042971859	NA	NA	NA
PPP2R165	0.000281666	NA	NA	NA
PPP2R166	0.0385794	NA	NA	NA
PPP2R167	0.020470664	NA	NA	NA
PPP2R168	0.017887362	NA	NA	NA
PPP2R169	0.000331066	NA	NA	NA
PPP2R170	0.022530192	NA	NA	NA
PPP2R171	0.012742234	NA	NA	NA
PPP2R172	0.004385901	NA	NA	NA
PPP2R173	0.008516477	NA	NA	NA
PPP2R174	0.017114038	NA	NA	NA
PPP2R175	0.004053045	NA	NA	NA
PPP2R176	0.010071951	NA	NA	NA
PPP2R177	0.000144556	NA	NA	NA
PPP2R178	0.042615873	NA	NA	NA
PPP2R179	0.023630319	NA	NA	NA
PPP2R180	0.035337379	NA	NA	NA
PPP2R181	0.019890193	NA	NA	NA
PPP2R182	0.000331066	NA	NA	NA
PPP2R183	0.031080607	NA	NA	NA
PPP2R184	0.020423465	NA	NA	NA
PPP2R185	0.027138433	NA	NA	NA
PPP2R186	0.026712535	NA	NA	NA
PPP2R187	0.004532815	NA	NA	NA
PPP2R188	0.019547303	NA	NA	NA
PPP2R189	0.013493293	NA	NA	NA
PPP2R190	0.039312285	NA	NA	NA
PPP2R191	0.041504791	NA	NA	NA
PPP2R192	0.003594183	NA	NA	NA
PPP2R193	0.039669793	NA	NA	NA
PPP2R194	0.007019008	NA	NA	NA
PPP2R195	0.047206063	NA	NA	NA
PPP2R196	0.003809742	NA	NA	NA
PPP2R197	0.018529712	NA	NA	NA
PPP2R198	0.000314272	NA	NA	NA
PPP2R199	4.23E-07	NA	NA	NA
PPP2R200	0.031333443	NA	NA	NA
PPP2R201	0.026953988	NA	NA	NA
PPP2R202	0.006899065	NA	NA	NA
PPP2R203	0.000831228	NA	NA	NA
PPP2R204	0.005340096	NA	NA	NA
PPP2R205	0.033207117	NA	NA	NA
PPP2R206	3.03E-08	NA	NA	NA
PPP2R207	0.042594933	NA	NA	NA
PPP2R208	0.020209415	NA	NA	NA
PPP2R209	0.008168789	NA	NA	NA
PPP2R210	0.02989068	NA	NA	NA
PPP2R211	0.004024706	NA	NA	NA
PPP2R212	9.89E-11	NA	NA	NA
PPP2R213	0.004169389	NA	NA	NA
PPP2R214	0.004993288	NA	NA	NA
PPP2R215	0.004081384	NA	NA	NA
PPP2R216	0.012829542	NA	NA	NA
PPP2R217	0.000208933	NA	NA	NA
PPP2R218	0.001126057	NA	NA	NA
PPP2R219	0.012326753	NA	NA	NA
PPP2R220	0.009190554	NA	NA	NA
PPP2R221	0.007754491	NA	NA	NA
PPP2R222	0.026684793	NA	NA	NA
PPP2R223	1.52E-07	NA	NA	NA
PPP2R224	0.000492756	NA	NA	NA
PPP2R225	2.52E-05	NA	NA	NA
PPP2R226	0.023029587	NA	NA	NA
PPP2R227	0.000736695	NA	NA	NA
PPP2R228	0.049905684	NA	NA	NA
PPP2R229	0.001845879	NA	NA	NA
PPP2R230	0.030288903	NA	NA	NA
PPP2R231	0.006367989	NA	NA	NA
PPP2R232	0.022108488	NA	NA	NA
PPP2R233	0.044778191	NA	NA	NA
PPP2R234	3.72E-08	NA	NA	NA
PPP2R235	0.019484991	NA	NA	NA
PPP2R236	0.000831228	NA	NA	NA
PPP2R237	0.003597979	NA	NA	NA
PPP2R238	1.99E-05	NA	NA	NA
PPP2R239	0.044982427	NA	NA	NA
PPP2R240	0.010082819	NA	NA	NA
PPP2R241	0.00069242	NA	NA	NA
PPP2R242	3.5E-06	NA	NA	NA
PPP2R243	0.04208527	NA	NA	NA
PPP2R244	0.023954229	NA	NA	NA
PPP2R245	0.000138601	NA	NA	NA
PPP2R246	0.000563944	NA	NA	NA
PPP2R247	0.003189249	NA	NA	NA
PPP2R248	0.013062779	NA	NA	NA
PPP2R249	0.00027307	NA	NA	NA
PPP2R250	0.000377454	NA	NA	NA
PPP2R251	0.039512688	NA	NA	NA
PPP2R252	0.013366899	NA	NA	NA
PPP2R253	0.026712535	NA	NA	NA
PPP2R254	0.001283621	NA	NA	NA
PPP2R255	0.005392847	NA	NA	NA
PPP2R256	0.010009446	NA	NA	NA
PPP2R257	0.003388635	NA	NA	NA
PPP2R258	0.002406895	NA	NA	NA
PPP2R259	0.000201674	NA	NA	NA
PPP2R260	0.019669093	NA	NA	NA
PPP2R261	0.035718902	NA	NA	NA
PPP2R262	0.000131924	NA	NA	NA
PPP2R263	0.000549874	NA	NA	NA
PPP2R264	0.045975347	NA	NA	NA
PPP2R265	0.002416287	NA	NA	NA
PPP2R266	0.011957926	NA	NA	NA
PPP2R267	0.007112959	NA	NA	NA
PPP2R268	0.001861101	NA	NA	NA
PPP2R269	0.005571163	NA	NA	NA
PPP2R270	0.001998308	NA	NA	NA
PPP2R271	0.041919681	NA	NA	NA
PPP2R272	0.031421754	NA	NA	NA
PPP2R273	0.006707923	NA	NA	NA
PPP2R274	0.014408883	NA	NA	NA
PPP2R275	0.014044359	NA	NA	NA
PPP2R276	0.006130326	NA	NA	NA
PPP2R277	0.049637399	NA	NA	NA
PPP2R278	0.043057857	NA	NA	NA
PPP2R279	0.045098141	NA	NA	NA
PPP2R280	9.25E-05	NA	NA	NA
PPP2R281	0.000433338	NA	NA	NA
PPP2R282	3.2E-07	NA	NA	NA
PPP2R283	0.005434226	NA	NA	NA
PPP2R284	0.049977228	NA	NA	NA
PPP2R285	0.031333443	NA	NA	NA
PPP2R286	0.045790895	NA	NA	NA
PPP2R287	0.000831228	NA	NA	NA
PPP2R288	0.015045404	NA	NA	NA
PPP2R289	0.015943051	NA	NA	NA
PPP2R290	0.047837191	NA	NA	NA
PPP2R291	0.004526793	NA	NA	NA
PPP2R292	0.000146025	NA	NA	NA
PPP2R293	0.007316901	NA	NA	NA
PPP2R294	0.03887078	NA	NA	NA
PPP2R295	0.005392847	NA	NA	NA
PPP2R296	0.040053355	NA	NA	NA
PPP2R297	0.043202951	NA	NA	NA
PPP2R298	0.003769004	NA	NA	NA
PPP2R299	0.014903777	NA	NA	NA
PPP2R300	0.029537513	NA	NA	NA
PPP2R301	0.012189068	NA	NA	NA
PPP2R302	0.038870811	NA	NA	NA
PPP2R303	0.001355618	NA	NA	NA
PPP2R304	0.009530355	NA	NA	NA
PPP2R305	0.027929375	NA	NA	NA
PPP2R306	0.013769415	NA	NA	NA
PPP2R307	0.045340853	NA	NA	NA
PPP2R308	1.35E-06	NA	NA	NA
PPP2R309	0.000231492	NA	NA	NA
PPP2R310	0.001985118	NA	NA	NA
PPP2R311	0.022530192	NA	NA	NA
PPP2R312	0.010661643	NA	NA	NA
PPP2R313	0.019829224	NA	NA	NA
PPP2R314	0.007071039	NA	NA	NA
PPP2R315	0.011623465	NA	NA	NA
PPP2R316	0.001133145	NA	NA	NA
PPP2R317	0.007459547	NA	NA	NA
PPP2R318	0.041504791	NA	NA	NA
PPP2R319	0.008393046	NA	NA	NA
PPP2R320	0.003655542	NA	NA	NA
PPP2R321	0.03456058	NA	NA	NA
PPP2R322	0.023035937	NA	NA	NA
PPP2R323	0.000187322	NA	NA	NA
PPP2R324	1.63E-05	NA	NA	NA
PPP2R325	0.045545719	NA	NA	NA
PPP2R326	3.64E-07	NA	NA	NA
PPP2R327	0.000473426	NA	NA	NA
PPP2R328	0.024371777	NA	NA	NA
PPP2R329	0.000331066	NA	NA	NA
PPP2R330	0.000630902	NA	NA	NA
PPP2R331	3.91E-09	NA	NA	NA
PPP2R332	0.025932912	NA	NA	NA
PPP2R333	1.72E-06	NA	NA	NA
PPP2R334	3.64E-07	NA	NA	NA
PPP2R335	0.047407321	NA	NA	NA
PPP2R336	0.0130133	NA	NA	NA
PPP2R337	0.049637399	NA	NA	NA
PPP2R338	0.011989812	NA	NA	NA
PPP2R339	0.003769004	NA	NA	NA
PPP2R340	1.4E-07	NA	NA	NA
PPP2R341	1.07E-06	NA	NA	NA
PPP2R342	0.043112119	NA	NA	NA
PPP2R343	0.014749479	NA	NA	NA
PPP2R344	0.026342122	NA	NA	NA
PPP2R345	0.032692276	NA	NA	NA
PPP2R346	0.047810932	NA	NA	NA
PPP2R347	0.027401273	NA	NA	NA
PPP2R348	0.000331066	NA	NA	NA
PPP2R349	0.000146025	NA	NA	NA
PPP2R350	0.005519124	NA	NA	NA
PPP2R351	0.038302911	NA	NA	NA
PPP2R352	0.044982427	NA	NA	NA
PPP2R353	1.63E-05	NA	NA	NA
PPP2R354	0.005392847	NA	NA	NA
PPP2R355	0.020204617	NA	NA	NA
PPP2R356	0.013321474	NA	NA	NA
PPP2R357	0.000636298	NA	NA	NA
PPP2R358	0.022631927	NA	NA	NA
PPP2R359	0.026056528	NA	NA	NA
PPP2R360	0.000120335	NA	NA	NA
PPP2R361	0.015560244	NA	NA	NA
PPP2R362	0.026255214	NA	NA	NA
PPP2R363	0.02276048	NA	NA	NA
PPP2R364	0.000917573	NA	NA	NA
PPP2R365	0.041774076	NA	NA	NA
PPP2R366	0.035060183	NA	NA	NA
PPP2R367	0.005038713	NA	NA	NA
PPP2R368	3.3E-06	NA	NA	NA
PPP2R369	0.00164538	NA	NA	NA
PPP2R370	0.047338234	NA	NA	NA
PPP2R371	0.002604899	NA	NA	NA
PPP2R372	0.047140167	NA	NA	NA
PPP2R373	5.83E-09	NA	NA	NA
PPP2R374	2.92E-05	NA	NA	NA
PPP2R375	0.001909538	NA	NA	NA
PPP2R376	0.012987459	NA	NA	NA
PPP2R377	0.003699423	NA	NA	NA
PPP2R378	0.016458905	NA	NA	NA
PPP2R379	0.015560244	NA	NA	NA
PPP2R380	0.016915174	NA	NA	NA
PPP2R381	0.000362423	NA	NA	NA
PPP2R382	0.001951256	NA	NA	NA
PPP2R383	0.000134208	NA	NA	NA
PPP2R384	0.035445009	NA	NA	NA
PPP2R385	0.0049194	NA	NA	NA
PPP2R386	0.001013699	NA	NA	NA
PPP2R387	0.049388163	NA	NA	NA
PPP2R388	0.010954276	NA	NA	NA
PPP2R389	0.000935344	NA	NA	NA
PPP2R390	0.00482801	NA	NA	NA
PPP2R391	0.01623638	NA	NA	NA
PPP2R392	0.041058063	NA	NA	NA
PPP2R393	0.012189068	NA	NA	NA
PPP2R394	0.007050147	NA	NA	NA
PPP2R395	6.29E-05	NA	NA	NA
PPP2R396	0.00069242	NA	NA	NA
PPP2R397	0.013493293	NA	NA	NA
PPP2R398	0.015560244	NA	NA	NA
PPP2R399	0.003597979	NA	NA	NA
PPP2R400	0.013765784	NA	NA	NA
PPP2R401	0.003001964	NA	NA	NA
PPP2R402	0.000493956	NA	NA	NA
PPP2R403	0.023131465	NA	NA	NA
PPP2R404	0.000299822	NA	NA	NA
PPP2R405	0.041846019	NA	NA	NA
PPP2R406	0.000812835	NA	NA	NA
PPP2R407	0.004094611	NA	NA	NA
PPP2R408	0.006828173	NA	NA	NA
PPP2R409	0.000159001	NA	NA	NA
PPP2R410	0.009977321	NA	NA	NA
PPP2R411	0.025432562	NA	NA	NA
PPP2R412	0.012547657	NA	NA	NA
PPP2R413	0.04228074	NA	NA	NA
PPP2R414	0.00713837	NA	NA	NA
PPP2R415	0.001670206	NA	NA	NA
PPP2R416	0.039594582	NA	NA	NA
PPP2R417	0.000433338	NA	NA	NA
PPP2R418	0.014244192	NA	NA	NA
PPP2R419	5.63E-06	NA	NA	NA
PPP2R420	0.000540037	NA	NA	NA
PPP2R421	0.000488805	NA	NA	NA
PPP2R422	0.006656571	NA	NA	NA
PPP2R423	0.03456058	NA	NA	NA
PPP2R424	0.00472229	NA	NA	NA
PPP2R425	0.008191649	NA	NA	NA
PPP2R426	1.08E-06	NA	NA	NA
PPP2R427	1.07E-06	NA	NA	NA
PPP2R428	0.022997612	NA	NA	NA
PPP2R429	0.001891307	NA	NA	NA
PPP2R430	2.16E-06	NA	NA	NA
PPP2R431	0.014396497	NA	NA	NA
PPP2R432	0.019782648	NA	NA	NA
PPP2R433	0.000199797	NA	NA	NA
PPP2R434	0.043976654	NA	NA	NA
PPP2R435	5.29E-08	NA	NA	NA
PPP2R436	0.029035995	NA	NA	NA
PPP2R437	0.042971859	NA	NA	NA
PPP2R438	0.028378115	NA	NA	NA
PPP2R439	0.00011566	NA	NA	NA
PPP2R440	0.032175409	NA	NA	NA
PPP2R441	0.0385794	NA	NA	NA
PPP2R442	0.020072004	NA	NA	NA
PPP2R443	7.33E-07	NA	NA	NA
PPP2R444	0.046556391	NA	NA	NA
PPP2R445	0.001024032	NA	NA	NA
PPP2R446	0.000458256	NA	NA	NA
PPP2R447	0.012397696	NA	NA	NA
PPP2R448	0.012808071	NA	NA	NA
PPP2R449	0.017544935	NA	NA	NA
PPP2R450	0.004786915	NA	NA	NA
PPP2R451	0.002665299	NA	NA	NA
PPP2R452	0.033628293	NA	NA	NA
PPP2R453	0.005771781	NA	NA	NA
PPP2R454	6.2E-06	NA	NA	NA
PPP2R455	0.000558872	NA	NA	NA
PPP2R456	0.002118428	NA	NA	NA
PPP2R457	0.002905931	NA	NA	NA
PPP2R458	0.014287293	NA	NA	NA
PPP2R459	0.018440872	NA	NA	NA
PPP2R460	0.033675551	NA	NA	NA
PPP2R461	0.019547303	NA	NA	NA
PPP2R462	0.00011566	NA	NA	NA
PPP2R463	0.049685073	NA	NA	NA
PPP2R464	0.020967661	NA	NA	NA
PPP2R465	0.016659615	NA	NA	NA
PPP2R466	0.023778264	NA	NA	NA
PPP2R467	0.035050098	NA	NA	NA
PPP2R468	0.020120656	NA	NA	NA
PPP2R469	0.029568352	NA	NA	NA
PPP2R470	5.69E-05	NA	NA	NA
PPP2R471	0.013834457	NA	NA	NA
PPP2R472	0.000353262	NA	NA	NA
PPP2R473	0.00069242	NA	NA	NA
PPP2R474	0.001166229	NA	NA	NA
PPP2R475	0.032097068	NA	NA	NA
PPP2R476	0.005271038	NA	NA	NA
PPP2R477	0.00503948	NA	NA	NA
PPP2R478	0.005271038	NA	NA	NA
PPP2R479	0.013366899	NA	NA	NA
PPP2R480	0.001193011	NA	NA	NA
PPP2R481	0.005060173	NA	NA	NA
PPP2R482	0.008110481	NA	NA	NA
PPP2R483	0.01627727	NA	NA	NA
PPP2R484	0.022058655	NA	NA	NA
PPP2R485	0.013741645	NA	NA	NA
PPP2R486	0.001466095	NA	NA	NA
PPP2R487	0.028306374	NA	NA	NA
PPP2R488	0.008191649	NA	NA	NA
PPP2R489	0.034399845	NA	NA	NA
PPP2R490	4.61E-07	NA	NA	NA
PPP2R491	0.036968463	NA	NA	NA
PPP2R492	0.033879255	NA	NA	NA
PPP2R493	0.001676383	NA	NA	NA
PPP2R494	0.016835449	NA	NA	NA
PPP2R495	0.020963997	NA	NA	NA
PPP2R496	0.022997612	NA	NA	NA
PPP2R497	2.42E-07	NA	NA	NA
PPP2R498	8.88E-05	NA	NA	NA
PPP2R499	0.010333561	NA	NA	NA
PPP2R500	0.004359095	NA	NA	NA
PPP2R501	0.010139651	NA	NA	NA
PPP2R502	0.008393046	NA	NA	NA
PPP2R503	0.035990319	NA	NA	NA
PPP2R504	0.016331917	NA	NA	NA
PPP2R505	0.039886095	NA	NA	NA
PPP2R506	0.048143149	NA	NA	NA
PPP2R507	0.010309805	NA	NA	NA
PPP2R508	0.002244012	NA	NA	NA
PPP2R509	0.044921735	NA	NA	NA
PPP2R510	0.000331066	NA	NA	NA
PPP2R511	0.045192916	NA	NA	NA
PPP2R512	0.009096741	NA	NA	NA
PPP2R513	0.040053355	NA	NA	NA
PPP2R514	0.029136358	NA	NA	NA
PPP2R515	0.004141652	NA	NA	NA
PPP2R516	0.000149563	NA	NA	NA
PPP2R517	0.012742234	NA	NA	NA
PPP2R518	0.000669405	NA	NA	NA
PPP2R519	0.016069693	NA	NA	NA
PPP2R520	0.01280102	NA	NA	NA
PPP2R521	0.00482761	NA	NA	NA
PPP2R522	0.017244237	NA	NA	NA
PPP2R523	0.026238682	NA	NA	NA
PPP2R524	0.000665047	NA	NA	NA
PPP2R525	0.001577226	NA	NA	NA
PPP4R1L	NA	0.001318815	NA	NA
PPP4R3B	NA	NA	0.002494632	0.005720782
PRKD3	NA	NA	0.04307948	NA
PRKRIR	NA	NA	0.04019595	NA
PRKXP1	NA	0.003425889	NA	NA
PRNCR1	NA	0.03062156	NA	NA
PRPF19	NA	NA	0.0155858	0.048174213
PRPF38B	NA	NA	0.02242421	0.042010534
PRPF39	NA	NA	0.01621142	0.029795902
PRPF40A	NA	NA	0.03663522	NA
PRPF4B	NA	NA	0.000442858	0.001045278
PRPF8	NA	NA	0.01791433	0.048174213
PRR34-AS1	NA	0.056672602	NA	NA
PSMA3-AS1	NA	0.002410292	NA	NA
PSMB8-AS1	NA	0.006148554	NA	NA
PSMD5-AS1	NA	0.000301102	NA	NA
PSMF1	NA	NA	0.02446826	NA
PSMG3-AS1	NA	0.027611258	NA	NA
PTEN	NA	NA	0.008413381	0.014619935
PTPN18	NA	0.077631192	NA	NA
PTPPN4	NA	NA	0.006160625	0.009542841
PURB	NA	NA	0.005549897	0.014619935
PVT1	NA	0.000287153	NA	NA
PYCARD	NA	0.066932825	NA	NA
QSER1	NA	NA	8.54E-08	2.36E-07
R3HDM1	NA	NA	0.00942328	0.013807472
R3HDM2	NA	NA	0.0450404	0.029444142
RAB11FIP2	NA	NA	0.01770667	NA
RAB30-AS1	NA	0.084518147	NA	NA
RAB43	NA	0.056190368	NA	NA
RAB7A	NA	NA	0.02048227	NA
RABEP1	NA	NA	0.008881567	0.016510997
RAD50	NA	0.021757556	NA	NA
RALGAPA1	NA	6.6E-05	0.04401942	NA
RANBP2	NA	0.022634218	NA	NA
RANBP6	NA	NA	0.002166206	0.004455848
RAP2A	NA	NA	0.02626003	0.048080972
RASA2	NA	NA	0.001674271	0.003597962
RASA4B	NA	0.014078126	NA	NA
RASA4CP	NA	0.048423303	NA	NA
RB1CC1	NA	NA	0.000762965	0.001357465
RBBP6	NA	NA	0.002944071	0.00492504
RBM23	NA	NA	0.02341892	NA
RBM25	NA	NA	0.01249973	0.021731717
RBM26	NA	NA	0.02404715	0.038318582
RBM27	NA	NA	0.01050037	0.02511504
RC3H1	NA	NA	0.01508276	0.025690269
RC3H2	NA	NA	0.001328135	0.002663708
RDH14	NA	0.002041394	NA	NA
REV3L	NA	NA	0.01351606	0.023412164
RFCL	NA	NA	0.004944768	0.009404071
RFX7	NA	NA	0.001064876	0.002302534
RGPD4	NA	0.00014458	NA	NA
RHOF	NA	0.058083659	NA	NA
RHOQ	NA	NA	0.008185087	0.016380719
RHOT1	NA	NA	0.03298551	0.048174213
RICTOR	NA	0.026876255	0.01621142	0.023657384
RIF1	NA	0.005231322	0.03914422	0.000480885
RIMS3	NA	0.049829222	NA	NA
RLF	NA	0.09447874	0.000149568	NA
RNASEH1-AS1	NA	0.036882344	NA	NA
RNASEK	NA	6.6E-05	NA	NA
RNF10	NA	NA	0.03239021	0.046747035
RNF181	NA	NA	0.03114713	NA
RNF185	NA	NA	0.04134626	NA
RNF216P1	NA	0.001207206	NA	NA
RNF219	NA	0.077669671	0.001026132	0.001603835
RNF6	NA	NA	0.01706704	0.028132613
RNPC3	NA	NA	0.001999941	0.00356891
ROCK1	NA	NA	0.005822111	0.010556047
ROCK2	NA	0.063988705	0.02537971	0.036594647
RPARP-AS1	NA	0.009717061	NA	NA
RPL13A	NA	0.003299959	0.03813945	NA
RPL13AP20	NA	0.00022108	NA	NA
RPL13AP3	NA	0.019309399	NA	NA
RPL13AP6	NA	0.044543795	NA	NA
RPL18A	NA	6.6E-05	NA	NA
RPL23AP53	NA	0.067241058	NA	NA
RPL23AP7	NA	0.007217999	NA	NA
RPL23P8	NA	0.019964587	NA	NA
RPL26L1	NA	0.073464103	NA	NA
RPL3	NA	NA	0.02883844	0.04660059
RPL32P3	NA	0.004619335	NA	NA
RPL35	NA	0.029764162	NA	NA
RPL36A	NA	NA	NA	0.046880727
RPN2	NA	NA	0.001674271	0.013034731
RPP25L	NA	NA	0.01161551	0.02229856
RPPH1	NA	0.014476578	NA	NA
RPS10P7	NA	0.016450263	NA	NA
RPS14P3	NA	0.091980948	NA	NA
RPS17	NA	0.000407133	NA	NA
RPS2	NA	0.025265025	0.04309354	NA
RPSA	NA	0.022634218	0.04839647	NA
RPSAP58	NA	0.000210333	NA	NA
RPSAP9	NA	0.021068011	NA	NA
RRN3P3	NA	0.048423303	NA	NA
RRP36	NA	NA	0.01622905	0.037630342
RRP7BP	NA	0.007271036	NA	NA
RSC1A1	NA	0.009338189	0.001025426	0.001357465
RSF1	NA	0.057891425	0.001212633	0.003118145
RTEL1	NA	6.6E-05	NA	NA
RUVBL1	NA	NA	0.01284956	0.038526502
SAMD9	NA	0.051676019	NA	NA
SAMSN1	NA	0.031447208	NA	NA
SBDSP1	NA	0.002578904	NA	NA
SBF2-AS1	NA	0.068146187	NA	NA
SBK1	NA	0.034463826	NA	NA
SBNO1	NA	NA	0.02716996	0.047289862
SCAF11	NA	NA	0.03740656	NA
SCAMP1-AS1	NA	0.086088037	NA	NA
SCAND2P	NA	0.003165645	NA	NA
SCARNA17	NA	0.00346594	NA	NA
SCARNA7	NA	0.000311835	NA	NA
SCARNA9	NA	0.000158699	NA	NA
SCO2	NA	9.41E-05	NA	NA
